"V1","V2","V3","V4"
19,25,1,0
7,30,0,0
17,27,0,1
2,32,1,0
22,32,1,0
45,20,1,0
5,30,0,0
23,18,1,1
33,45,1,1
12,39,0,0
24,22,0,1
30,19,0,1
33,28,1,1
38,18,1,1
16,16,1,1
31,16,0,1
38,5,1,0
44,7,1,0
42,20,0,0
16,15,1,1
50,32,1,0
11,47,1,0
22,20,1,0
14,43,0,0
3,1,0,0
38,23,1,1
2,9,1,0
8,3,1,0
21,16,0,1
32,16,0,1
32,22,0,1
5,47,0,0
7,44,0,1
37,50,0,1
24,35,0,1
15,27,1,1
11,9,1,0
2,19,1,1
19,2,1,1
7,39,0,0
14,9,0,0
4,30,1,0
38,34,1,0
5,40,0,0
26,27,1,1
42,41,0,0
11,9,1,0
25,22,0,1
43,26,0,1
45,33,1,1
29,3,1,0
50,44,1,1
6,19,1,1
13,36,0,1
27,47,1,0
16,47,1,0
9,28,0,1
38,19,1,1
27,14,1,0
34,49,0,0
7,26,0,1
34,26,0,1
7,44,0,1
2,26,1,1
31,15,0,1
5,47,0,0
49,11,0,1
40,32,0,0
22,46,1,1
3,3,0,0
34,8,0,1
32,46,0,1
6,2,1,1
12,40,0,0
40,25,0,0
31,43,0,0
7,9,0,0
47,23,0,1
16,33,1,1
29,29,1,1
24,17,0,0
35,19,1,1
35,6,1,1
11,32,1,0
32,24,0,0
21,9,0,0
28,22,1,1
22,35,1,1
46,16,1,1
47,41,0,0
7,16,0,1
14,5,0,0
32,35,0,1
25,31,0,0
4,20,1,0
34,50,0,1
32,1,0,0
39,49,0,0
42,46,0,1
40,38,0,1
48,5,0,0
27,32,1,0
25,12,0,0
34,37,0,0
38,38,1,1
2,36,1,1
24,1,0,0
38,5,1,0
4,11,1,1
33,11,1,1
46,22,1,1
5,19,0,1
37,30,0,0
26,42,1,0
47,4,0,1
46,32,1,0
25,40,0,0
7,1,0,0
30,32,0,0
13,18,0,1
33,26,1,1
22,41,1,0
29,37,1,0
22,29,1,1
3,9,0,0
12,47,0,0
11,37,1,0
43,16,0,1
19,25,1,0
41,44,0,1
25,14,0,0
13,13,0,0
39,7,0,0
5,26,0,1
34,44,0,1
49,7,0,0
16,2,1,1
37,22,0,1
42,49,0,0
49,23,0,1
23,4,1,1
28,40,1,0
35,29,1,1
37,7,0,0
20,17,0,0
46,32,1,0
38,22,1,1
39,23,0,1
22,41,1,0
2,19,1,1
28,48,1,0
37,29,0,1
46,17,1,0
43,39,0,0
35,43,1,0
2,22,1,1
20,19,0,1
6,7,1,0
7,28,0,1
28,1,1,0
24,47,0,0
47,25,0,0
39,20,0,0
7,37,0,0
47,22,0,1
46,49,1,0
17,44,0,1
7,49,0,0
5,37,0,0
50,26,1,1
10,18,0,1
50,39,1,0
43,19,0,1
28,34,1,0
32,1,0,0
1,16,0,1
5,7,0,0
22,41,1,0
17,42,0,0
19,20,1,0
9,28,0,1
29,43,1,0
9,32,0,0
48,25,0,0
16,30,1,0
10,5,0,0
13,18,0,1
44,5,1,0
17,33,0,1
14,17,0,0
23,28,1,1
14,24,0,0
48,38,0,1
11,31,1,0
40,43,0,0
6,3,1,0
34,17,0,0
20,6,0,1
4,11,1,1
7,48,0,0
22,22,1,1
19,16,1,1
12,42,0,0
43,10,0,0
43,9,0,0
46,13,1,0
22,18,1,1
15,48,1,0
9,21,0,0
47,20,0,0
32,23,0,1
25,47,0,0
32,16,0,1
2,43,1,0
35,10,1,0
17,4,0,1
36,35,1,1
41,50,0,1
25,50,0,1
42,36,0,1
48,50,0,1
48,10,0,0
28,41,1,0
18,38,1,1
25,23,0,1
32,27,0,1
48,4,0,1
35,36,1,1
38,30,1,0
10,23,0,1
5,28,0,1
42,17,0,0
49,27,0,1
2,26,1,1
14,50,0,1
46,6,1,1
22,43,1,0
2,22,1,1
50,2,1,1
11,46,1,1
25,46,0,1
2,2,1,1
50,41,1,0
3,48,0,0
45,49,1,0
21,47,0,0
30,20,0,0
5,39,0,0
44,15,1,1
32,4,0,1
41,20,0,0
26,49,1,0
24,25,0,0
12,6,0,1
29,41,1,0
15,2,1,1
9,41,0,0
2,21,1,0
5,18,0,1
21,17,0,0
10,24,0,0
38,42,1,0
18,44,1,1
17,31,0,0
19,7,1,0
45,40,1,0
13,37,0,0
29,13,1,0
33,28,1,1
41,48,0,0
6,28,1,1
7,23,0,1
35,49,1,0
3,10,0,0
30,46,0,1
8,7,1,0
34,20,0,0
18,47,1,0
28,31,1,0
6,39,1,0
26,19,1,1
30,20,0,0
37,7,0,0
14,29,0,1
4,44,1,1
33,8,1,1
10,33,0,1
37,46,0,1
44,17,1,0
17,21,0,0
5,20,0,0
27,20,1,0
17,39,0,0
21,43,0,0
34,36,0,1
13,31,0,0
29,22,1,1
12,16,0,1
38,28,1,1
35,47,1,0
23,45,1,1
9,43,0,0
33,23,1,1
26,6,1,1
45,35,1,1
35,32,1,0
34,45,0,1
45,21,1,0
14,40,0,0
14,3,0,0
49,26,0,1
44,4,1,1
40,17,0,0
32,2,0,1
15,16,1,1
6,44,1,1
12,7,0,0
26,3,1,0
35,18,1,1
7,43,0,0
24,49,0,0
45,35,1,1
31,14,0,0
32,27,0,1
7,23,0,1
31,48,0,0
23,9,1,0
50,39,1,0
39,27,0,1
6,5,1,0
36,37,1,0
47,1,0,0
41,45,0,1
13,22,0,1
16,1,1,0
32,32,0,0
15,17,1,0
44,43,1,0
2,8,1,1
24,8,0,1
29,10,1,0
28,32,1,0
42,23,0,1
3,10,0,0
29,17,1,0
4,24,1,0
9,21,0,0
22,35,1,1
12,35,0,1
3,2,0,1
48,49,0,0
45,45,1,1
33,29,1,1
7,32,0,0
19,2,1,1
22,44,1,1
29,49,1,0
7,16,0,1
