"V1","V2","V3","V4"
13,44,0,1
32,19,0,1
35,48,1,1
3,39,0,1
31,7,1,1
21,8,0,1
37,29,1,0
16,13,1,0
21,44,0,1
18,13,1,0
32,35,0,1
25,17,0,1
18,44,1,1
4,2,1,1
17,18,1,1
4,18,1,1
11,9,0,1
29,12,0,0
20,50,0,0
38,50,1,0
42,49,1,1
31,15,1,0
39,2,1,1
40,12,0,0
20,33,0,0
49,35,1,1
34,27,0,1
28,47,0,0
1,3,1,0
29,45,0,0
13,42,0,1
14,21,0,0
4,46,1,1
18,24,1,0
9,14,1,0
32,9,0,1
38,8,1,1
47,49,0,1
50,44,0,1
47,49,0,1
15,16,0,1
13,13,0,0
11,6,0,1
32,46,0,1
34,18,0,1
42,6,1,1
23,28,1,0
15,37,0,1
31,40,1,0
23,20,1,0
8,36,1,1
27,33,1,0
1,3,1,0
3,14,0,0
39,32,1,0
39,41,1,0
2,38,1,1
34,32,0,0
5,35,1,1
7,25,1,0
47,28,0,0
33,38,0,1
50,28,0,0
4,10,1,0
50,50,0,0
42,50,1,0
24,14,0,0
29,10,0,0
6,26,1,1
26,27,1,1
10,36,0,1
21,31,0,1
33,36,0,1
41,33,0,0
2,45,1,0
22,14,1,0
33,19,0,1
9,49,1,1
44,1,1,1
24,45,0,0
5,36,1,1
4,37,1,1
28,22,0,1
39,28,1,0
5,4,1,1
11,37,0,1
33,40,0,0
46,3,1,0
21,34,0,0
10,10,0,0
3,7,0,1
43,30,1,0
15,16,0,1
30,4,0,1
46,48,1,1
6,16,1,1
36,29,1,0
48,23,1,1
31,46,1,1
40,3,0,0
39,15,1,0
40,31,0,1
3,35,0,1
4,32,1,0
28,2,0,1
43,25,1,0
43,11,1,0
13,18,0,1
41,1,0,1
24,40,0,0
50,27,0,1
26,10,1,0
3,48,0,1
33,37,0,1
20,29,0,0
47,1,0,1
29,48,0,1
10,43,0,1
45,37,0,1
2,34,1,0
43,48,1,1
44,8,1,1
40,10,0,0
