"V1","V2","V3","V4"
49,31,0,0
41,33,0,0
38,5,1,0
37,42,0,0
43,1,0,0
15,36,0,1
39,9,0,0
45,25,0,0
19,22,1,1
11,34,0,0
7,39,0,0
36,50,1,0
28,25,0,0
12,50,0,0
41,12,0,0
50,23,0,1
4,36,1,1
41,14,0,0
48,14,0,0
22,12,1,0
7,35,0,1
13,7,0,0
42,46,0,1
32,22,0,1
38,19,1,1
35,36,1,1
40,28,0,0
6,50,1,0
35,48,1,0
14,2,0,1
26,25,1,0
43,25,0,0
41,45,0,0
5,4,0,1
23,8,1,1
20,49,0,0
37,2,0,1
14,12,0,0
43,28,0,0
17,47,0,0
10,49,0,0
26,27,1,1
34,7,0,0
49,21,0,0
38,14,1,0
41,6,0,1
43,30,0,0
44,1,1,0
6,1,1,0
46,46,1,1
39,10,0,0
32,7,0,0
21,49,0,0
4,43,1,0
20,36,0,1
21,12,0,0
49,15,0,0
28,8,0,1
34,3,0,0
25,35,0,1
26,38,1,1
30,42,0,0
30,26,0,1
33,11,0,0
49,33,0,0
41,25,0,0
12,34,0,0
19,49,1,0
2,4,1,1
33,49,0,0
34,23,0,1
16,2,1,1
44,49,1,0
28,15,0,0
4,26,1,1
18,2,1,1
33,45,0,0
20,3,0,0
4,23,1,1
35,41,1,0
30,34,0,0
32,15,0,0
21,29,0,0
15,3,0,0
21,4,0,1
38,20,1,0
49,17,0,0
45,39,0,0
17,15,0,0
12,27,0,1
3,44,0,1
7,23,0,1
32,26,0,1
27,50,1,0
20,36,0,1
41,34,0,0
47,8,0,1
36,3,1,0
29,45,0,0
19,48,1,0
13,30,0,0
34,20,0,0
34,40,0,0
2,14,1,0
7,34,0,0
26,19,1,1
50,39,0,0
23,28,1,0
34,33,0,0
48,15,0,0
21,18,0,1
22,24,1,0
15,13,0,0
11,47,0,0
8,40,1,0
37,40,0,0
21,24,0,0
25,19,0,1
41,42,0,0
40,47,0,0
24,25,0,0
49,6,0,1
28,48,0,0
6,16,1,1
34,17,0,0
14,50,0,0
3,44,0,1
17,27,0,1
14,6,0,1
35,47,1,0
6,31,1,0
49,22,0,1
13,20,0,0
35,30,1,0
