"V1","V2","V3","V4"
39,21,1,0
16,1,1,1
7,15,1,0
38,42,1,1
22,44,1,1
9,31,1,1
40,44,0,1
30,10,1,1
46,42,1,1
14,18,1,1
1,28,1,0
35,19,1,1
41,29,0,0
36,34,1,0
9,28,1,0
25,47,1,1
37,35,1,1
27,15,1,0
18,50,1,0
1,39,1,1
35,1,1,1
28,49,0,1
41,50,0,0
6,45,1,0
7,28,1,0
39,25,1,1
21,35,0,1
39,11,1,0
6,31,1,1
18,15,1,0
24,34,0,0
10,16,1,1
36,25,1,1
25,36,1,1
11,37,0,1
7,29,1,0
24,40,0,0
1,6,1,1
15,2,0,1
34,13,0,1
18,46,1,1
11,27,0,1
22,30,1,1
31,14,1,1
37,36,1,1
36,5,1,1
28,41,0,0
4,22,1,1
22,16,1,1
48,20,1,0
12,20,0,0
28,10,0,1
22,35,1,1
5,44,1,1
1,11,1,0
48,37,1,1
42,13,1,1
33,42,0,1
43,5,1,1
42,15,1,0
33,1,0,1
34,39,0,1
20,45,0,0
29,16,0,1
26,49,1,1
24,46,0,1
30,4,1,1
4,11,1,0
6,9,1,1
27,3,1,1
10,11,1,0
31,34,1,0
45,7,0,1
9,35,1,1
23,28,1,0
32,35,1,1
8,22,1,1
26,29,1,0
25,6,1,1
30,9,1,1
15,7,0,1
50,23,0,1
15,38,0,1
46,48,1,1
47,49,1,1
24,49,0,1
40,10,0,1
18,7,1,1
39,19,1,1
25,21,1,0
42,31,1,1
15,11,0,0
21,8,0,1
39,4,1,1
49,34,1,0
47,9,1,1
43,17,1,1
30,3,1,1
11,45,0,0
13,13,1,1
28,44,0,1
45,15,0,0
48,2,1,1
22,38,1,1
14,17,1,1
14,8,1,1
33,29,0,0
15,2,0,1
26,6,1,1
43,40,1,0
12,4,0,1
2,38,1,1
13,19,1,1
49,23,1,1
37,32,1,1
31,8,1,1
10,22,1,1
46,27,1,1
34,6,0,1
5,37,1,1
36,9,1,1
1,19,1,1
4,14,1,1
21,40,0,0
25,7,1,1
33,4,0,1
40,4,0,1
2,22,1,1
25,8,1,1
36,44,1,1
28,39,0,1
4,2,1,1
41,24,0,0
2,19,1,1
2,50,1,0
21,8,0,1
25,30,1,1
16,31,1,1
48,39,1,1
27,4,1,1
22,6,1,1
42,15,1,0
22,24,1,0
46,27,1,1
27,44,1,1
40,17,0,1
19,28,1,0
6,35,1,1
42,37,1,1
47,39,1,1
41,18,0,1
35,24,1,0
1,48,1,1
16,43,1,1
22,35,1,1
33,30,0,1
28,20,0,0
48,37,1,1
18,10,1,1
10,18,1,1
29,38,0,1
30,43,1,1
41,32,0,1
47,20,1,0
15,20,0,0
44,42,1,1
41,18,0,1
2,19,1,1
25,30,1,1
38,20,1,0
21,45,0,0
44,5,1,1
14,25,1,1
20,14,0,1
37,38,1,1
14,10,1,1
39,32,1,1
16,24,1,0
49,28,1,0
30,6,1,1
36,47,1,1
1,33,1,0
29,25,0,1
7,16,1,1
37,2,1,1
2,36,1,1
10,40,1,0
45,41,0,0
2,19,1,1
1,32,1,1
7,34,1,0
33,27,0,1
49,30,1,1
6,5,1,1
26,46,1,1
13,7,1,1
49,12,1,0
25,9,1,1
11,2,0,1
27,32,1,1
39,9,1,1
39,17,1,1
9,28,1,0
27,15,1,0
38,24,1,0
38,19,1,1
21,3,0,1
27,27,1,1
30,23,1,1
8,34,1,0
19,25,1,1
21,45,0,0
42,9,1,1
46,5,1,1
49,34,1,0
4,23,1,1
5,47,1,1
36,2,1,1
33,49,0,1
7,7,1,1
49,7,1,1
19,50,1,0
19,26,1,1
43,46,1,1
37,7,1,1
21,27,0,1
30,33,1,0
29,42,0,1
6,2,1,1
50,34,0,0
47,21,1,0
28,42,0,1
17,23,1,1
39,26,1,1
21,2,0,1
12,29,0,0
32,4,1,1
12,28,0,0
4,22,1,1
30,5,1,1
43,15,1,0
45,32,0,1
37,45,1,0
4,8,1,1
40,17,0,1
35,20,1,0
9,48,1,1
42,22,1,1
2,49,1,1
43,42,0,0
