"V1","V2","V3","V4"
8,20,1,0
2,48,1,0
5,14,0,0
16,4,1,1
34,11,0,1
45,5,1,0
6,38,1,1
31,34,0,0
27,13,1,0
36,23,1,1
38,32,1,0
30,48,0,0
26,10,1,0
13,35,0,1
14,30,0,0
1,26,0,1
33,47,1,0
47,15,0,1
36,6,1,1
36,9,1,0
24,19,0,1
2,18,1,1
49,38,0,1
9,12,0,0
46,49,1,0
29,31,1,0
26,36,1,1
41,21,0,0
42,1,0,0
5,6,0,1
16,47,1,0
28,48,1,0
33,1,1,0
12,24,0,0
18,24,1,0
22,3,1,0
14,32,0,0
47,3,0,0
15,14,1,0
8,2,1,1
18,23,1,1
31,49,0,0
22,34,1,0
24,37,0,0
35,7,1,0
7,7,0,0
12,15,0,1
49,6,0,1
10,33,0,1
9,47,0,0
1,49,0,0
28,41,1,0
18,14,1,0
24,24,0,0
24,21,0,0
30,44,0,1
26,8,1,1
24,13,0,0
7,11,0,1
42,36,0,1
11,35,1,1
48,43,0,0
2,43,1,0
39,46,0,1
43,43,0,0
33,15,1,1
25,27,0,1
6,27,1,1
35,41,1,0
38,1,1,0
22,30,1,0
47,6,0,1
27,20,1,0
44,23,1,1
49,38,0,1
31,41,0,0
44,5,1,0
2,42,1,0
2,37,1,0
2,12,1,0
46,22,1,1
22,14,1,0
44,49,1,0
50,50,1,1
35,1,1,0
34,3,0,0
9,5,0,0
2,1,1,0
7,26,0,1
18,1,1,0
47,43,0,0
8,35,1,1
35,27,1,1
7,36,0,1
14,13,0,0
28,14,1,0
17,24,0,0
15,28,1,1
27,35,1,1
19,48,1,0
28,32,1,0
32,31,0,0
37,15,0,1
14,21,0,0
29,19,1,1
18,13,1,0
21,50,0,1
44,1,1,0
30,43,0,0
38,24,1,0
35,21,1,0
22,20,1,0
24,33,0,1
17,16,0,1
15,36,1,1
7,41,0,0
26,30,1,0
43,26,0,1
10,25,0,0
22,12,1,0
24,42,0,0
35,47,1,0
14,47,0,0
34,7,0,0
21,26,0,1
32,17,0,0
15,28,1,1
2,36,1,1
20,45,0,1
50,31,1,0
38,5,1,0
28,8,1,1
8,21,1,0
1,32,0,0
29,40,1,1
43,16,0,1
22,9,1,0
7,50,0,1
35,17,1,0
50,44,1,1
18,16,1,1
44,49,1,0
11,44,1,1
23,46,1,1
1,32,0,0
19,4,1,1
45,17,1,0
40,41,1,0
2,11,1,1
42,18,0,1
36,44,1,1
35,39,1,0
32,21,0,0
47,46,0,1
20,29,0,1
19,39,1,0
16,16,1,1
9,29,0,1
9,36,0,1
12,9,0,0
5,7,0,0
44,12,1,0
46,18,1,1
10,29,0,1
13,11,0,1
41,34,0,0
44,47,1,0
32,38,0,1
43,14,0,0
42,29,0,1
40,27,1,1
20,44,0,1
31,48,0,0
18,19,1,1
25,3,0,0
45,42,1,0
41,10,0,0
4,39,1,0
18,42,1,0
31,7,0,0
50,50,1,1
9,46,0,1
24,4,0,1
12,44,0,1
50,43,1,0
10,11,0,1
48,25,0,0
33,28,1,1
2,27,1,1
15,16,1,1
21,9,0,0
16,22,1,1
45,38,1,1
7,30,0,0
2,2,1,1
47,46,0,1
7,26,0,1
18,10,1,0
3,28,0,1
11,10,1,0
